mass_A,,,mass_B,,,mass_C,,,mass_D,,
t,x,y,t,x,y,t,x,y,t,x,y
0,11.24,-1.522,0,5.862,-0.483,0,7.005,2.686,0,2.719,3.049
0.033,11.19,-1.756,0.033,5.758,-1.003,0.033,6.797,2.348,0.033,2.511,2.452
0.066,11.16,-2.015,0.066,5.732,-1.626,0.066,6.459,1.828,0.066,2.278,1.543
0.099,11.16,-2.223,0.099,5.732,-2.327,0.099,6.226,1.231,0.099,1.992,0.66
0.132,11.21,-2.509,0.132,5.758,-2.95,0.132,5.914,0.608,0.132,1.81,-0.275
0.165,11.29,-2.717,0.165,5.784,-3.6,0.165,5.758,-0.171,0.165,1.732,-1.184
0.198,11.29,-3.054,0.198,5.94,-4.275,0.198,5.654,-1.028,0.198,1.654,-2.119
0.231,11.37,-3.236,0.231,6.096,-4.898,0.231,5.654,-1.652,0.231,1.706,-3.054
0.264,11.45,-3.392,0.264,6.277,-5.418,0.264,5.706,-2.223,0.264,1.784,-3.963
0.297,11.5,-3.548,0.297,6.433,-5.859,0.297,5.732,-2.795,0.297,1.992,-4.924
0.33,11.5,-3.704,0.33,6.563,-6.119,0.33,5.862,-3.418,0.33,2.33,-5.859
0.363,11.45,-3.756,0.363,6.641,-6.379,0.363,6.148,-4.067,0.363,2.615,-6.69
0.396,11.5,-3.782,0.396,6.667,-6.587,0.396,6.381,-4.691,0.396,3.161,-7.522
0.429,11.47,-3.756,0.429,6.823,-6.561,0.429,6.771,-5.314,0.429,3.524,-8.275
0.462,11.52,-3.782,0.462,6.901,-6.535,0.462,6.979,-5.729,0.462,4.07,-9.028
0.495,11.6,-3.782,0.495,7.005,-6.509,0.495,7.394,-6.405,0.495,4.304,-9.469
0.528,11.6,-3.782,0.528,7.031,-6.457,0.528,7.446,-6.95,0.528,4.252,-9.599
0.561,11.63,-3.756,0.561,6.953,-6.327,0.561,7.888,-7.418,0.561,4.174,-9.625
0.594,11.55,-3.756,0.594,6.927,-6.223,0.594,7.992,-7.651,0.594,4.07,-9.599
0.627,11.45,-3.782,0.627,6.745,-5.989,0.627,7.94,-8.015,0.627,4.044,-9.547
0.66,11.45,-3.626,0.66,6.511,-5.729,0.66,7.992,-8.093,0.66,3.992,-9.547
0.693,11.42,-3.444,0.693,6.433,-5.418,0.693,7.836,-8.171,0.693,3.888,-9.547
0.726,11.45,-3.314,0.726,6.2,-5.002,0.726,7.732,-8.093,0.726,3.706,-9.158
0.759,11.39,-3.106,0.759,6.07,-4.561,0.759,7.524,-7.911,0.759,3.369,-8.82
0.792,11.29,-2.924,0.792,5.992,-3.963,0.792,7.186,-7.522,0.792,2.979,-7.989
0.825,11.26,-2.639,0.825,5.862,-3.418,0.825,6.771,-7.054,0.825,2.641,-7.21
0.858,11.26,-2.431,0.858,5.784,-2.821,0.858,6.433,-6.379,0.858,2.278,-6.275
0.891,11.26,-2.145,0.891,5.81,-2.171,0.891,6.2,-5.833,0.891,2.044,-5.47
0.924,11.21,-1.86,0.924,5.81,-1.444,0.924,5.992,-5.028,0.924,1.836,-4.509
0.957,11.29,-1.626,0.957,5.836,-0.795,0.957,5.784,-4.483,0.957,1.68,-3.626
0.99,11.32,-1.34,0.99,5.966,-0.223,0.99,5.758,-3.808,0.99,1.68,-2.717
1.023,11.37,-1.132,1.023,6.096,0.348,1.023,5.628,-3.184,1.023,1.732,-1.652
1.056,11.39,-0.977,1.056,6.226,0.79,1.056,5.706,-2.457,1.056,1.758,-0.665
1.089,11.39,-0.873,1.089,6.355,1.179,1.089,5.732,-1.834,1.089,1.966,0.166
1.122,11.47,-0.821,1.122,6.433,1.413,1.122,5.862,-1.34,1.122,2.2,0.841
1.155,11.42,-0.795,1.155,6.511,1.647,1.155,6.303,-0.769,1.155,2.511,1.647
1.188,11.45,-0.769,1.188,6.563,1.673,1.188,6.641,-0.275,1.188,3.005,2.322
1.221,11.5,-0.795,1.221,6.641,1.595,1.221,7.083,0.192,1.221,3.343,2.997
1.254,11.47,-0.795,1.254,6.641,1.543,1.254,7.238,0.893,1.254,3.55,3.776
1.287,11.55,-0.873,1.287,6.511,1.465,1.287,7.135,1.465,1.287,3.654,3.984
1.32,11.58,-0.925,1.32,6.381,1.439,1.32,7.29,2.01,1.32,3.576,4.062
1.353,11.45,-0.925,1.353,6.381,1.179,1.353,7.342,2.244,1.353,3.498,4.01
1.386,11.34,-0.925,1.386,6.329,0.919,1.386,7.264,2.556,1.386,3.317,3.958
1.419,11.39,-1.106,1.419,6.251,0.556,1.419,7.316,2.789,1.419,3.239,3.828
1.452,11.32,-1.236,1.452,6.018,0.192,1.452,7.238,2.815,1.452,3.031,3.517
1.485,11.29,-1.392,1.485,5.888,-0.301,1.485,7.109,2.686,1.485,2.823,3.205
1.518,11.21,-1.652,1.518,5.81,-0.847,1.518,6.849,2.426,1.518,2.563,2.686
