mass_A,,,mass_B,,,mass_C,,,mass_D,,
t,x,y,t,x,y,t,x,y,t,x,y
0,22.4,-1.202,0,27.68,8.59E-02,0,26.64,2.915,0,30.61,3.673
0.033,22.42,-1.43,0.033,27.8,-0.596,0.033,26.77,2.89,0.033,30.83,3.268
0.066,22.42,-1.657,0.066,27.85,-1.228,0.066,27.04,2.536,0.066,31.14,2.41
0.099,22.4,-1.91,0.099,27.95,-1.91,0.099,27.42,1.955,0.099,31.46,1.425
0.132,22.35,-2.137,0.132,27.85,-2.566,0.132,27.75,1.197,0.132,31.69,0.288
0.165,22.37,-2.415,0.165,27.75,-3.349,0.165,27.95,0.541,0.165,31.87,-0.823
0.198,22.3,-2.667,0.198,27.65,-4.031,0.198,28.13,-0.242,0.198,31.94,-1.682
0.231,22.22,-2.869,0.231,27.45,-4.637,0.231,28.16,-0.849,0.231,31.97,-2.718
0.264,22.14,-3.097,0.264,27.2,-5.319,0.264,28.18,-1.455,0.264,31.77,-3.577
0.297,22.07,-3.324,0.297,26.99,-5.749,0.297,28.16,-2.187,0.297,31.67,-4.41
0.33,22.02,-3.45,0.33,26.82,-6.204,0.33,28.08,-2.743,0.33,31.49,-5.218
0.363,21.92,-3.526,0.363,26.54,-6.481,0.363,27.88,-3.299,0.363,31.26,-5.875
0.396,21.97,-3.627,0.396,26.44,-6.709,0.396,27.78,-3.678,0.396,30.91,-6.608
0.429,21.97,-3.602,0.429,26.44,-6.759,0.429,27.6,-4.132,0.429,30.53,-7.189
0.462,21.99,-3.526,0.462,26.44,-6.709,0.462,27.3,-4.461,0.462,30.13,-7.669
0.495,22.04,-3.425,0.495,26.64,-6.582,0.495,27.02,-4.915,0.495,29.62,-8.275
0.528,22.14,-3.324,0.528,26.82,-6.406,0.528,26.64,-5.37,0.528,28.94,-8.856
0.561,22.07,-3.274,0.561,26.94,-6.204,0.561,26.06,-5.9,0.561,28.84,-9.184
0.594,22.02,-3.071,0.594,26.97,-6.052,0.594,25.91,-6.406,0.594,29.04,-9.083
0.627,22.42,-3.248,0.627,27.09,-5.749,0.627,26.01,-6.759,0.627,29.42,-8.83
0.66,22.32,-3.097,0.66,27.15,-5.395,0.66,26.08,-6.86,0.66,29.75,-8.603
0.693,22.35,-2.97,0.693,27.35,-5.016,0.693,26.19,-6.987,0.693,29.97,-8.249
0.726,22.37,-2.794,0.726,27.45,-4.461,0.726,26.29,-7.062,0.726,30.18,-7.896
0.759,22.42,-2.617,0.759,27.63,-3.905,0.759,26.31,-7.088,0.759,30.38,-7.567
0.792,22.45,-2.415,0.792,27.78,-3.349,0.792,26.46,-6.936,0.792,30.68,-7.062
0.825,22.47,-2.137,0.825,27.85,-2.642,0.825,26.84,-6.532,0.825,31.01,-6.254
0.858,22.42,-1.91,0.858,27.9,-1.96,0.858,27.27,-5.85,0.858,31.31,-5.143
0.891,22.42,-1.606,0.891,27.9,-1.202,0.891,27.5,-5.143,0.891,31.67,-4.107
0.924,22.4,-1.404,0.924,27.8,-0.47,0.924,27.85,-4.587,0.924,31.84,-3.021
0.957,22.32,-1.076,0.957,27.65,0.212,0.957,28.05,-3.93,0.957,31.79,-2.112
0.99,22.27,-0.773,0.99,27.5,0.894,0.99,28.21,-2.996,0.99,31.89,-1.152
1.023,22.12,-0.571,1.023,27.27,1.425,1.023,28.16,-2.263,1.023,31.74,-0.318
1.056,22.07,-0.369,1.056,27.07,1.955,1.056,28.16,-1.505,1.056,31.64,0.566
1.089,21.97,-0.268,1.089,26.89,2.334,1.089,28.08,-0.924,1.089,31.41,1.324
1.122,21.97,-0.141,1.122,26.77,2.561,1.122,27.88,-0.445,1.122,31.31,2.031
1.155,21.97,-0.167,1.155,26.64,2.738,1.155,27.7,8.59E-02,1.155,30.98,2.738
1.188,22.02,-0.192,1.188,26.67,2.713,1.188,27.5,0.465,1.188,30.61,3.319
1.221,22.07,-0.394,1.221,26.79,2.637,1.221,27.09,0.919,1.221,30.05,4.127
1.254,22.07,-0.47,1.254,26.99,2.435,1.254,26.82,1.374,1.254,29.47,4.607
1.287,22.12,-0.546,1.287,27.04,2.182,1.287,26.56,1.753,1.287,29.17,5.138
1.32,22.17,-0.546,1.32,27.12,2.031,1.32,26.41,2.132,1.32,29.34,5.163
1.353,22.22,-0.672,1.353,27.17,1.854,1.353,26.08,2.384,1.353,29.6,4.986
1.386,22.25,-0.621,1.386,27.22,1.5,1.386,26.44,2.864,1.386,30.02,4.557
1.419,22.35,-0.798,1.419,27.35,1.273,1.419,26.46,2.713,1.419,30.3,4.203
1.452,22.35,-0.95,1.452,27.52,0.818,1.452,26.56,2.839,1.452,30.45,3.95
1.485,22.37,-1.127,1.485,27.68,0.263,1.485,26.72,2.965,1.485,30.61,3.774
