mass_B,,,C,,D,,E,
t,x,y,x,y,x,y,x,y
0,-1.509,-1.226,-1.523,-0.27,-13.11,-0.946,-16.91,2.543
0.02,-1.508,-1.254,-1.559,-0.294,-13.11,-2.016,-17.17,1.256
0.04,-1.508,-1.254,-1.556,-0.295,-13.04,-2.063,-17.17,1.162
0.06,-1.481,-1.258,-1.599,-0.301,-12.92,-3.117,-17.29,-0.404
0.08,-1.48,-1.257,-1.602,-0.299,-12.94,-3.117,-17.32,-0.373
0.1,-1.482,-1.28,-1.631,-0.323,-12.7,-4.11,-17.35,-1.877
0.12,-1.453,-1.284,-1.666,-0.352,-12.36,-5.04,-17.2,-3.241
0.14,-1.453,-1.283,-1.665,-0.352,-12.38,-5.056,-17.23,-3.257
0.16,-1.449,-1.314,-1.696,-0.378,-12.05,-5.908,-17.04,-4.311
0.18,-1.445,-1.315,-1.694,-0.379,-12.02,-5.862,-17.04,-4.296
0.2,-1.451,-1.338,-1.72,-0.4,-11.66,-6.544,-16.73,-5.35
0.22,-1.428,-1.336,-1.748,-0.42,-11.34,-7.087,-16.38,-6.281
0.24,-1.427,-1.337,-1.748,-0.415,-11.32,-7.087,-16.33,-6.265
0.26,-1.424,-1.34,-1.765,-0.42,-11.09,-7.412,-15.94,-7.133
0.28,-1.424,-1.34,-1.768,-0.415,-11.09,-7.443,-15.94,-7.102
0.3,-1.423,-1.341,-1.767,-0.425,-10.92,-7.537,-15.49,-7.769
0.32,-1.425,-1.338,-1.764,-0.415,-10.95,-7.568,-15.17,-8.219
0.34,-1.425,-1.338,-1.768,-0.412,-10.94,-7.537,-15.15,-8.296
0.36,-1.425,-1.312,-1.746,-0.395,-11.12,-7.335,-14.69,-8.668
0.38,-1.447,-1.313,-1.717,-0.376,-11.34,-6.978,-14.08,-9.196
0.4,-1.449,-1.312,-1.717,-0.378,-11.52,-7.133,-14.05,-9.149
0.42,-1.447,-1.293,-1.7,-0.357,-11.66,-6.529,-13.76,-9.645
0.44,-1.449,-1.288,-1.697,-0.356,-11.65,-6.467,-13.82,-9.614
0.46,-1.454,-1.282,-1.682,-0.35,-11.88,-6.063,-14.08,-9.32
0.48,-1.46,-1.276,-1.663,-0.344,-12.11,-5.521,-14.67,-8.637
0.5,-1.459,-1.277,-1.663,-0.348,-12.13,-5.536,-14.73,-8.684
0.52,-1.475,-1.285,-1.65,-0.331,-12.3,-4.885,-15.29,-7.893
0.54,-1.477,-1.284,-1.655,-0.329,-12.36,-5.009,-15.29,-7.955
0.56,-1.483,-1.28,-1.633,-0.324,-12.55,-4.141,-15.82,-7.335
0.58,-1.48,-1.257,-1.603,-0.299,-12.78,-3.226,-16.08,-6.653
0.6,-1.481,-1.256,-1.604,-0.299,-12.83,-3.04,-16.11,-6.715
0.62,-1.484,-1.225,-1.569,-0.272,-12.92,-2.016,-16.36,-5.908
0.64,-1.483,-1.225,-1.573,-0.271,-12.89,-2.047,-16.44,-5.877
0.66,-1.509,-1.222,-1.521,-0.26,-13,-0.931,-16.8,-4.73
0.68,-1.51,-1.198,-1.482,-0.237,-13.03,0.139,-16.98,-3.257
0.7,-1.51,-1.198,-1.488,-0.239,-12.97,0.17,-16.98,-3.179
0.72,-1.511,-1.167,-1.444,-0.237,-12.76,1.302,-17.25,-1.52
0.74,-1.511,-1.168,-1.442,-0.238,-12.78,1.333,-17.23,-1.567
0.76,-1.51,-1.142,-1.415,-0.22,-12.53,2.248,-17.25,-7.80E-02
0.78,-1.509,-1.118,-1.369,-0.216,-12.24,3.209,-17.2,1.178
0.8,-1.509,-1.117,-1.362,-0.215,-12.24,3.24,-17.25,1.162
0.82,-1.509,-1.089,-1.326,-0.209,-11.96,4,-16.98,2.232
0.84,-1.509,-1.088,-1.327,-0.21,-11.96,3.969,-17.03,2.248
0.86,-1.516,-1.08,-1.3,-0.209,-11.62,4.574,-16.75,3.256
0.88,-1.507,-1.065,-1.277,-0.21,-11.42,5.039,-16.42,4.016
0.9,-1.508,-1.063,-1.276,-0.212,-11.42,5.039,-16.42,4.047
0.92,-1.508,-1.063,-1.275,-0.213,-11.28,5.194,-16.13,4.698
0.94,-1.508,-1.062,-1.274,-0.213,-11.21,5.163,-16.18,4.713
0.96,-1.508,-1.061,-1.274,-0.214,-11.2,5.194,-15.73,5.132
0.98,-1.505,-1.071,-1.3,-0.214,-11.34,4.977,-15.31,5.582
1,-1.507,-1.067,-1.303,-0.214,-11.37,4.962,-15.4,5.597
1.02,-1.507,-1.09,-1.344,-0.213,-11.52,4.527,-14.8,5.876
1.04,-1.509,-1.112,-1.375,-0.216,-11.9,4,-14.44,6.559
1.06,-1.509,-1.114,-1.378,-0.215,-11.88,4.016,-14.39,6.59
1.08,-1.505,-1.119,-1.4,-0.215,-12.21,3.597,-14.72,6.404
1.1,-1.506,-1.12,-1.41,-0.216,-12.19,3.612,-14.73,6.45
1.12,-1.505,-1.122,-1.413,-0.217,-12.38,3.209,-15.37,5.628
