Voltage,Frequency,Angle,spar1,spar2
120,60,28.86,0,0
120,80,34.29,0,0
120,90,38.14,0,0
120,100,38.2,0,0
120,110,36.81,0,0
120,120,34.51,0,0
120,140,26.63,0,0
150,60,36.88,0,0
150,80,44.37,0,0
150,90,45.36,0,0
150,95,46.29,0,0
150,100,47.27,0,0
150,110,45.48,0,0
150,120,44.72,0,0
150,140,38.74,0,0
180,60,44.9,0,0
180,80,51.97,0,0
180,90,53.36,0,0
180,95,54.24,0,0
180,100,54.6,0,0
180,110,54.29,0,0
180,120,53.72,0,0
180,140,51.96,0,0
180,160,50.53,0,0
180,180,37.85,0,0
190,60,47.37,0,0
190,80,53.52,0,0
190,90,55.4,0,0
190,95,56.28,0,0
190,100,56.68,0,0
190,110,56.74,0,0
190,120,56.49,0,0
190,140,49.97,0,0
190,150,44.03,0,0
200,60,49.88,0,0
200,80,56.09,0,0
200,90,56.8,0,0
200,100,59.22,0,0
200,110,59.55,0,0
200,120,60.59,0,0
200,130,62,0,0
200,135,62.98,0,0
200,140,65.14,0,0
200,150,53.42,0,0
200,160,52.47,0,0
