Voltage,Frequency,Angle
120,110,30.07
120,130,31.3
120,150,32.61
120,160,34.21
120,170,41.96
120,180,48.83
120,200,46.07
150,110,37.22
150,130,39.15
150,150,47.08
150,160,61.52
150,170,75.67
150,175,75.99
150,180,73.98
150,200,56.9
160,150,52.05
160,160,72.76
160,170,81.88
160,175,80.78
160,180,76.77
170,150,57.47
170,160,82.13
170,165,84.7
170,170,86.7
170,180,78.83
180,100,43.08
180,120,45.89
180,140,44.51
180,150,58.41
180,160,72.68
180,170,85.43
180,175,85.28
180,180,82.02
180,185,79.17
180,190,73.23
180,210,55.62
190,100,45.29
190,120,48.07
190,140,46.51
190,150,72.35
190,155,87.65
190,158,92.36
190,160,93.17
190,165,65.21
190,170,70.31
190,190,76.54
200,100,46.96
200,140,47.67
200,150,73.97
200,155,90.75
200,157,95.66
200,160,82.74
200,170,74.94
200,190,49.78
