Voltage,Frequency,Angle,spar1,spar2
120,190,35,0,0
120,200,33.41,0,0
120,210,32.9,0,0
160,110,34.47,0,0
160,130,36.94,0,0
160,150,44.83,0,0
160,170,46.31,0,0
160,200,49.6,32.42,33.28
160,210,49.41,0,0
160,220,47.61,0,0
180,200,58.52,33.91,35.61
180,210,58.15,36.19,37.2
180,220,53.97,0,0
200,120,51.11,0,0
200,140,54.38,0,0
200,160,56.77,0,0
200,170,57.28,0,0
200,180,59.12,0,0
200,190,62.89,0,0
200,195,68.53,35.29,36.43
200,200,68.44,38,38.61
200,205,67.8,38.8,38.14
200,210,66.02,0,0
200,230,55.66,0,0
