mass_A,,,,,,
t,x,y,x,y,x,y
0,0,1.35E-02,-1.509,-1.226,-1.523,-0.27
0.02,-4.98E-02,1.35E-02,-1.508,-1.254,-1.559,-0.294
0.04,-5.17E-02,1.35E-02,-1.508,-1.254,-1.556,-0.295
0.06,-8.03E-02,1.35E-02,-1.481,-1.258,-1.599,-0.301
0.08,-8.14E-02,1.35E-02,-1.48,-1.257,-1.602,-0.299
0.1,-0.111,1.35E-02,-1.482,-1.28,-1.631,-0.323
0.12,-0.142,1.35E-02,-1.453,-1.284,-1.666,-0.352
0.14,-0.142,1.35E-02,-1.453,-1.283,-1.665,-0.352
0.16,-0.174,1.35E-02,-1.449,-1.314,-1.696,-0.378
0.18,-0.175,1.35E-02,-1.445,-1.315,-1.694,-0.379
0.2,-0.195,1.35E-02,-1.451,-1.338,-1.72,-0.4
0.22,-0.215,1.35E-02,-1.428,-1.336,-1.748,-0.42
0.24,-0.218,1.35E-02,-1.427,-1.337,-1.748,-0.415
0.26,-0.24,1.35E-02,-1.424,-1.34,-1.765,-0.42
0.28,-0.245,1.35E-02,-1.424,-1.34,-1.768,-0.415
0.3,-0.244,1.35E-02,-1.423,-1.341,-1.767,-0.425
0.32,-0.243,1.35E-02,-1.425,-1.338,-1.764,-0.415
0.34,-0.235,1.35E-02,-1.425,-1.338,-1.768,-0.412
0.36,-0.219,1.35E-02,-1.425,-1.312,-1.746,-0.395
0.38,-0.195,1.35E-02,-1.447,-1.313,-1.717,-0.376
0.4,-0.195,1.35E-02,-1.449,-1.312,-1.717,-0.378
0.42,-0.168,1.35E-02,-1.447,-1.293,-1.7,-0.357
0.44,-0.168,1.35E-02,-1.449,-1.288,-1.697,-0.356
0.46,-0.165,1.35E-02,-1.454,-1.282,-1.682,-0.35
0.48,-0.14,1.35E-02,-1.46,-1.276,-1.663,-0.344
0.5,-0.137,1.35E-02,-1.459,-1.277,-1.663,-0.348
0.52,-0.134,1.35E-02,-1.475,-1.285,-1.65,-0.331
0.54,-0.136,1.35E-02,-1.477,-1.284,-1.655,-0.329
0.56,-0.11,1.35E-02,-1.483,-1.28,-1.633,-0.324
0.58,-7.53E-02,1.35E-02,-1.48,-1.257,-1.603,-0.299
0.6,-7.82E-02,1.35E-02,-1.481,-1.256,-1.604,-0.299
0.62,-4.28E-02,1.35E-02,-1.484,-1.225,-1.569,-0.272
0.64,-4.82E-02,1.35E-02,-1.483,-1.225,-1.573,-0.271
0.66,-3.59E-03,1.35E-02,-1.509,-1.222,-1.521,-0.26
0.68,4.85E-02,1.35E-02,-1.51,-1.198,-1.482,-0.237
0.7,5.12E-02,1.35E-02,-1.51,-1.198,-1.488,-0.239
0.72,8.46E-02,1.35E-02,-1.511,-1.167,-1.444,-0.237
0.74,8.42E-02,1.35E-02,-1.511,-1.168,-1.442,-0.238
0.76,0.114,1.35E-02,-1.51,-1.142,-1.415,-0.22
0.78,0.15,1.35E-02,-1.509,-1.118,-1.369,-0.216
0.8,0.146,1.35E-02,-1.509,-1.117,-1.362,-0.215
0.82,0.173,1.35E-02,-1.509,-1.089,-1.326,-0.209
0.84,0.171,1.35E-02,-1.509,-1.088,-1.327,-0.21
0.86,0.193,1.35E-02,-1.516,-1.08,-1.3,-0.209
0.88,0.205,1.35E-02,-1.507,-1.065,-1.277,-0.21
0.9,0.21,1.35E-02,-1.508,-1.063,-1.276,-0.212
0.92,0.219,1.35E-02,-1.508,-1.063,-1.275,-0.213
0.94,0.221,1.35E-02,-1.508,-1.062,-1.274,-0.213
0.96,0.203,1.35E-02,-1.508,-1.061,-1.274,-0.214
0.98,0.187,1.35E-02,-1.505,-1.071,-1.3,-0.214
1,0.19,1.35E-02,-1.507,-1.067,-1.303,-0.214
1.02,0.165,1.35E-02,-1.507,-1.09,-1.344,-0.213
1.04,0.13,1.35E-02,-1.509,-1.112,-1.375,-0.216
1.06,0.134,1.35E-02,-1.509,-1.114,-1.378,-0.215
1.08,0.119,1.35E-02,-1.505,-1.119,-1.4,-0.215
1.1,0.113,1.35E-02,-1.506,-1.12,-1.41,-0.216
1.12,0.11,1.35E-02,-1.505,-1.122,-1.413,-0.217
1.14,0.105,1.35E-02,-1.506,-1.121,-1.427,-0.213
1.16,8.94E-02,1.35E-02,-1.507,-1.12,-1.432,-0.213
1.18,7.81E-02,1.35E-02,-1.509,-1.137,-1.458,-0.213
1.2,8.03E-02,1.35E-02,-1.509,-1.139,-1.462,-0.213
1.22,4.99E-02,1.35E-02,-1.501,-1.15,-1.497,-0.219
1.24,7.49E-03,1.35E-02,-1.481,-1.148,-1.524,-0.238
1.26,4.67E-03,1.35E-02,-1.481,-1.146,-1.524,-0.239
1.28,-3.24E-02,1.35E-02,-1.479,-1.175,-1.576,-0.248
1.3,-3.09E-02,1.35E-02,-1.48,-1.173,-1.577,-0.246
1.32,-7.64E-02,1.35E-02,-1.476,-1.206,-1.609,-0.27
1.34,-0.108,1.35E-02,-1.455,-1.198,-1.639,-0.291
1.36,-0.109,1.35E-02,-1.454,-1.198,-1.638,-0.293
1.38,-0.14,1.35E-02,-1.451,-1.229,-1.667,-0.316
1.4,-0.14,1.35E-02,-1.452,-1.228,-1.665,-0.319
1.42,-0.168,1.35E-02,-1.425,-1.234,-1.71,-0.349
1.44,-0.197,1.35E-02,-1.426,-1.269,-1.74,-0.377
1.46,-0.197,1.35E-02,-1.423,-1.278,-1.742,-0.378
1.48,-0.227,1.35E-02,-1.427,-1.297,-1.771,-0.4
1.5,-0.226,1.35E-02,-1.426,-1.303,-1.773,-0.403
1.52,-0.226,1.35E-02,-1.418,-1.314,-1.788,-0.411
1.54,-0.248,1.35E-02,-1.418,-1.314,-1.802,-0.421
1.56,-0.249,1.35E-02,-1.419,-1.315,-1.802,-0.416
1.58,-0.249,1.35E-02,-1.42,-1.313,-1.802,-0.413
1.6,-0.25,1.35E-02,-1.42,-1.313,-1.802,-0.412
1.62,-0.225,1.35E-02,-1.428,-1.304,-1.788,-0.409
1.64,-0.196,1.35E-02,-1.427,-1.281,-1.753,-0.381
1.66,-0.196,1.35E-02,-1.427,-1.281,-1.751,-0.381
1.68,-0.192,1.35E-02,-1.448,-1.285,-1.741,-0.358
1.7,-0.167,1.35E-02,-1.447,-1.267,-1.716,-0.349
1.72,-0.167,1.35E-02,-1.449,-1.261,-1.717,-0.35
1.74,-0.165,1.35E-02,-1.455,-1.252,-1.711,-0.331
1.76,-0.16,1.35E-02,-1.454,-1.253,-1.714,-0.329
1.78,-0.138,1.35E-02,-1.458,-1.248,-1.694,-0.325
1.8,-0.132,1.35E-02,-1.465,-1.241,-1.68,-0.318
1.82,-0.135,1.35E-02,-1.46,-1.246,-1.684,-0.321
1.84,-0.111,1.35E-02,-1.48,-1.254,-1.662,-0.302
1.86,-0.111,1.35E-02,-1.481,-1.254,-1.663,-0.3
1.88,-6.39E-02,1.35E-02,-1.481,-1.227,-1.628,-0.273
1.9,-2.31E-02,1.35E-02,-1.485,-1.194,-1.578,-0.264
1.92,-2.49E-02,1.35E-02,-1.483,-1.196,-1.578,-0.266
1.94,2.45E-02,1.35E-02,-1.509,-1.193,-1.545,-0.24
1.96,2.57E-02,1.35E-02,-1.509,-1.195,-1.547,-0.241
1.98,5.83E-02,1.35E-02,-1.509,-1.169,-1.516,-0.216
2,9.28E-02,1.35E-02,-1.511,-1.14,-1.469,-0.212
2.02,8.93E-02,1.35E-02,-1.511,-1.141,-1.468,-0.213
2.04,0.122,1.35E-02,-1.511,-1.114,-1.417,-0.209
2.06,0.118,1.35E-02,-1.51,-1.114,-1.415,-0.21
2.08,0.154,1.35E-02,-1.51,-1.087,-1.385,-0.19
2.1,0.192,1.35E-02,-1.531,-1.09,-1.353,-0.185
2.12,0.193,1.35E-02,-1.533,-1.089,-1.354,-0.185
2.14,0.21,1.35E-02,-1.515,-1.057,-1.328,-0.184
2.16,0.21,1.35E-02,-1.513,-1.058,-1.328,-0.185
2.18,0.221,1.35E-02,-1.514,-1.057,-1.31,-0.186
2.2,0.223,1.35E-02,-1.512,-1.058,-1.307,-0.185
2.22,0.223,1.35E-02,-1.511,-1.059,-1.304,-0.186
2.24,0.214,1.35E-02,-1.509,-1.061,-1.325,-0.185
2.26,0.218,1.35E-02,-1.509,-1.061,-1.326,-0.185
2.28,0.194,1.35E-02,-1.512,-1.083,-1.358,-0.188
2.3,0.165,1.35E-02,-1.514,-1.104,-1.398,-0.187
2.32,0.166,1.35E-02,-1.513,-1.106,-1.405,-0.186
2.34,0.137,1.35E-02,-1.508,-1.117,-1.438,-0.189
2.36,0.116,1.35E-02,-1.51,-1.139,-1.463,-0.189
2.38,0.113,1.35E-02,-1.509,-1.14,-1.467,-0.188
2.4,0.111,1.35E-02,-1.509,-1.141,-1.47,-0.19
2.42,0.109,1.35E-02,-1.508,-1.142,-1.472,-0.189
2.44,0.102,1.35E-02,-1.507,-1.143,-1.485,-0.185
2.46,6.38E-02,1.35E-02,-1.511,-1.164,-1.521,-0.189
2.48,6.07E-02,1.35E-02,-1.51,-1.166,-1.522,-0.188
2.5,2.82E-02,1.35E-02,-1.499,-1.182,-1.546,-0.202
2.52,2.81E-02,1.35E-02,-1.503,-1.177,-1.547,-0.206
2.54,-3.98E-03,1.35E-02,-1.503,-1.203,-1.599,-0.216
2.56,-4.98E-02,1.35E-02,-1.48,-1.205,-1.634,-0.242
2.58,-5.22E-02,1.35E-02,-1.48,-1.202,-1.634,-0.241
2.6,-8.35E-02,1.35E-02,-1.478,-1.229,-1.664,-0.268
2.62,-8.36E-02,1.35E-02,-1.478,-1.229,-1.664,-0.269
2.64,-0.112,1.35E-02,-1.455,-1.226,-1.689,-0.285
2.66,-0.144,1.35E-02,-1.452,-1.255,-1.724,-0.321
2.68,-0.143,1.35E-02,-1.452,-1.255,-1.722,-0.323
2.7,-0.17,1.35E-02,-1.425,-1.259,-1.752,-0.352
2.72,-0.169,1.35E-02,-1.425,-1.257,-1.75,-0.352
2.74,-0.196,1.35E-02,-1.424,-1.281,-1.776,-0.379
2.76,-0.222,1.35E-02,-1.424,-1.307,-1.802,-0.404
2.78,-0.225,1.35E-02,-1.421,-1.31,-1.802,-0.406
2.8,-0.228,1.35E-02,-1.416,-1.317,-1.821,-0.413
2.82,-0.227,1.35E-02,-1.42,-1.314,-1.824,-0.411
2.84,-0.227,1.35E-02,-1.421,-1.313,-1.826,-0.411
2.86,-0.226,1.35E-02,-1.422,-1.312,-1.827,-0.41
2.88,-0.225,1.35E-02,-1.423,-1.311,-1.828,-0.41
2.9,-0.216,1.35E-02,-1.43,-1.298,-1.804,-0.386
2.92,-0.219,1.35E-02,-1.428,-1.304,-1.804,-0.384
2.94,-0.189,1.35E-02,-1.428,-1.282,-1.778,-0.359
2.96,-0.167,1.35E-02,-1.448,-1.285,-1.759,-0.348
2.98,-0.167,1.35E-02,-1.452,-1.283,-1.754,-0.35
3,-0.164,1.35E-02,-1.456,-1.278,-1.747,-0.332
3.02,-0.139,1.35E-02,-1.452,-1.258,-1.724,-0.325
3.04,-0.139,1.35E-02,-1.452,-1.257,-1.722,-0.325
3.06,-0.137,1.35E-02,-1.481,-1.278,-1.694,-0.318
3.08,-0.134,1.35E-02,-1.481,-1.279,-1.693,-0.321
3.1,-0.113,1.35E-02,-1.484,-1.272,-1.689,-0.307
3.12,-8.22E-02,1.35E-02,-1.483,-1.253,-1.645,-0.295
3.14,-8.26E-02,1.35E-02,-1.483,-1.253,-1.641,-0.296
3.16,-4.22E-02,1.35E-02,-1.483,-1.225,-1.608,-0.269
3.18,-4.77E-02,1.35E-02,-1.483,-1.225,-1.608,-0.269
3.2,-5.39E-03,1.35E-02,-1.51,-1.22,-1.575,-0.242
3.22,3.39E-02,1.35E-02,-1.511,-1.194,-1.529,-0.22
3.24,3.19E-02,1.35E-02,-1.511,-1.195,-1.531,-0.218
3.26,7.77E-02,1.35E-02,-1.514,-1.165,-1.489,-0.21
3.28,8.00E-02,1.35E-02,-1.512,-1.167,-1.491,-0.211
3.3,0.112,1.35E-02,-1.51,-1.143,-1.444,-0.208
3.32,0.145,1.35E-02,-1.511,-1.115,-1.416,-0.189
3.34,0.143,1.35E-02,-1.51,-1.115,-1.414,-0.188
3.36,0.174,1.35E-02,-1.511,-1.086,-1.37,-0.18
3.38,0.172,1.35E-02,-1.51,-1.086,-1.376,-0.182
3.4,0.195,1.35E-02,-1.531,-1.092,-1.349,-0.179
3.42,0.22,1.35E-02,-1.51,-1.059,-1.326,-0.179
3.44,0.222,1.35E-02,-1.51,-1.059,-1.325,-0.18
3.46,0.222,1.35E-02,-1.509,-1.059,-1.325,-0.18
3.48,0.223,1.35E-02,-1.509,-1.059,-1.326,-0.184
3.5,0.223,1.35E-02,-1.509,-1.059,-1.327,-0.185
3.52,0.198,1.35E-02,-1.506,-1.067,-1.352,-0.185
3.54,0.197,1.35E-02,-1.507,-1.064,-1.353,-0.185
3.56,0.166,1.35E-02,-1.509,-1.087,-1.388,-0.189
3.58,0.167,1.35E-02,-1.509,-1.087,-1.386,-0.188
3.6,0.139,1.35E-02,-1.51,-1.111,-1.43,-0.187
3.62,0.114,1.35E-02,-1.505,-1.121,-1.459,-0.188
3.64,0.113,1.35E-02,-1.505,-1.122,-1.468,-0.189
3.66,0.109,1.35E-02,-1.505,-1.124,-1.474,-0.194
3.68,8.85E-02,1.35E-02,-1.511,-1.134,-1.488,-0.187
3.7,8.69E-02,1.35E-02,-1.51,-1.137,-1.491,-0.187
3.72,7.97E-02,1.35E-02,-1.509,-1.141,-1.507,-0.19
3.74,8.12E-02,1.35E-02,-1.508,-1.143,-1.504,-0.189
3.76,5.00E-02,1.35E-02,-1.487,-1.138,-1.552,-0.191
3.78,9.72E-03,1.35E-02,-1.488,-1.162,-1.569,-0.207
3.8,6.00E-03,1.35E-02,-1.485,-1.165,-1.574,-0.209
3.82,-2.81E-02,1.35E-02,-1.482,-1.196,-1.619,-0.227
3.84,-2.81E-02,1.35E-02,-1.481,-1.197,-1.617,-0.221
3.86,-7.75E-02,1.35E-02,-1.479,-1.228,-1.657,-0.243
3.88,-0.109,1.35E-02,-1.477,-1.256,-1.686,-0.267
