mass_A,,,,,,
t,x,y,x,y,x,y
0.24,4.642,-1.537,2.01,-2.111,1.14,-2.111
0.26,4.642,-1.537,2.01,-2.111,1.146,-2.111
0.28,4.668,-1.504,2.01,-2.025,1.146,-2.018
0.3,4.682,-1.517,2.01,-2.025,1.153,-2.012
0.32,4.695,-1.477,2.01,-1.952,1.16,-1.906
0.34,4.695,-1.477,2.01,-1.952,1.16,-1.926
0.36,4.701,-1.464,2.017,-1.913,1.146,-1.873
0.38,4.721,-1.458,1.997,-1.906,1.146,-1.866
0.4,4.734,-1.464,2.01,-1.893,1.153,-1.847
0.42,4.734,-1.464,2.037,-1.899,1.16,-1.847
0.44,4.748,-1.444,2.037,-1.827,1.173,-1.715
0.46,4.748,-1.444,2.024,-1.814,1.179,-1.715
0.48,4.767,-1.418,2.03,-1.761,1.186,-1.622
0.5,4.767,-1.418,2.03,-1.761,1.179,-1.616
0.52,4.767,-1.451,2.043,-1.761,1.193,-1.622
0.54,4.767,-1.451,2.037,-1.774,1.186,-1.622
0.56,4.774,-1.431,2.043,-1.702,1.212,-1.543
0.58,4.781,-1.425,2.043,-1.688,1.199,-1.537
0.6,4.767,-1.425,2.03,-1.675,1.186,-1.53
0.62,4.767,-1.425,2.03,-1.695,1.199,-1.543
0.64,4.794,-1.405,2.063,-1.642,1.212,-1.464
0.66,4.794,-1.405,2.057,-1.649,1.212,-1.464
0.68,4.8,-1.392,2.057,-1.603,1.219,-1.398
0.7,4.8,-1.392,2.057,-1.603,1.219,-1.398
0.72,4.827,-1.392,2.063,-1.524,1.252,-1.293
0.74,4.827,-1.392,2.076,-1.517,1.252,-1.266
0.76,4.84,-1.385,2.096,-1.451,1.278,-1.2
0.78,4.833,-1.392,2.083,-1.451,1.259,-1.174
0.8,4.84,-1.385,2.076,-1.458,1.272,-1.174
0.82,4.833,-1.392,2.063,-1.464,1.278,-1.207
0.84,4.833,-1.405,2.063,-1.464,1.259,-1.2
0.86,4.853,-1.418,2.09,-1.458,1.292,-1.181
0.88,4.853,-1.378,2.083,-1.477,1.278,-1.181
0.9,4.827,-1.392,2.076,-1.491,1.265,-1.22
0.92,4.82,-1.378,2.076,-1.484,1.272,-1.22
0.94,4.82,-1.359,2.076,-1.504,1.278,-1.26
0.96,4.82,-1.365,2.07,-1.504,1.252,-1.253
0.98,4.814,-1.372,2.07,-1.576,1.232,-1.352
1,4.814,-1.392,2.063,-1.57,1.239,-1.326
1.02,4.787,-1.438,2.05,-1.702,1.226,-1.53
1.04,4.787,-1.438,2.037,-1.708,1.206,-1.517
1.06,4.675,-1.524,2.017,-2.051,1.14,-2.018
1.08,4.675,-1.524,2.01,-2.045,1.14,-2.012
