mass_G,,,,,,
t,x,y,x,y,x,y
2.58,5.427,-1.378,2.769,-1.893,1.885,-1.913
2.6,5.427,-1.378,2.769,-1.899,1.885,-1.913
2.62,5.414,-1.352,2.769,-1.913,1.885,-1.926
2.64,5.414,-1.359,2.769,-1.919,1.892,-1.959
2.66,5.414,-1.398,2.782,-1.985,1.898,-2.018
2.68,5.387,-1.405,2.782,-2.025,1.912,-2.084
2.7,5.401,-1.405,2.782,-2.005,1.905,-2.058
2.72,5.394,-1.411,2.789,-2.045,1.912,-2.13
2.74,5.394,-1.438,2.789,-2.064,1.912,-2.117
2.76,5.387,-1.425,2.782,-2.091,1.912,-2.15
2.78,5.374,-1.431,2.776,-2.078,1.912,-2.15
2.8,5.374,-1.431,2.769,-2.084,1.912,-2.183
2.82,5.381,-1.418,2.769,-2.084,1.905,-2.17
2.84,5.381,-1.418,2.776,-2.084,1.905,-2.196
2.86,5.374,-1.471,2.782,-2.111,1.912,-2.216
2.88,5.361,-1.451,2.789,-2.15,1.912,-2.249
2.9,5.361,-1.444,2.789,-2.143,1.905,-2.256
2.92,5.361,-1.484,2.789,-2.17,1.918,-2.275
2.94,5.354,-1.484,2.789,-2.17,1.925,-2.295
2.96,5.348,-1.477,2.795,-2.183,1.931,-2.335
2.98,5.341,-1.491,2.789,-2.209,1.938,-2.368
3,5.341,-1.491,2.789,-2.196,1.938,-2.374
3.02,5.328,-1.504,2.789,-2.209,1.938,-2.381
3.04,5.328,-1.484,2.795,-2.223,1.938,-2.401
3.06,5.328,-1.484,2.802,-2.242,1.938,-2.401
3.08,5.328,-1.524,2.802,-2.242,1.945,-2.414
3.1,5.328,-1.53,2.789,-2.256,1.931,-2.414
3.12,5.328,-1.53,2.795,-2.249,1.938,-2.414
3.14,5.328,-1.497,2.789,-2.262,1.945,-2.434
3.16,5.321,-1.51,2.789,-2.262,1.938,-2.427
3.18,5.328,-1.537,2.795,-2.275,1.945,-2.447
3.2,5.321,-1.543,2.795,-2.269,1.938,-2.44
3.22,5.321,-1.563,2.795,-2.275,1.951,-2.467
3.24,5.321,-1.563,2.809,-2.308,1.951,-2.5
3.26,5.315,-1.576,2.809,-2.295,1.945,-2.506
3.28,5.315,-1.622,2.789,-2.335,1.951,-2.519
3.3,5.321,-1.603,2.795,-2.335,1.945,-2.513
3.32,5.315,-1.589,2.795,-2.348,1.931,-2.539
3.34,5.308,-1.589,2.789,-2.355,1.945,-2.552
3.36,5.315,-1.583,2.789,-2.368,1.945,-2.552
