mass_J,,,,,,
t,x,y,x,y,x,y
6.32,5.433,-1.418,2.762,-1.932,1.905,-1.952
6.34,5.433,-1.425,2.762,-1.932,1.905,-1.952
6.36,5.447,-1.405,2.769,-1.893,1.918,-1.899
6.38,5.447,-1.405,2.769,-1.893,1.918,-1.899
6.4,5.466,-1.398,2.769,-1.88,1.905,-1.886
6.42,5.473,-1.405,2.776,-1.866,1.918,-1.866
6.44,5.473,-1.392,2.776,-1.866,1.905,-1.86
6.46,5.466,-1.392,2.762,-1.88,1.905,-1.86
6.48,5.466,-1.392,2.762,-1.866,1.898,-1.873
6.5,5.466,-1.392,2.756,-1.873,1.898,-1.873
6.52,5.466,-1.392,2.756,-1.873,1.898,-1.873
6.54,5.466,-1.392,2.762,-1.873,1.898,-1.866
6.56,5.466,-1.378,2.762,-1.873,1.898,-1.866
6.58,5.466,-1.378,2.756,-1.873,1.898,-1.866
6.6,5.466,-1.378,2.762,-1.873,1.918,-1.847
6.62,5.466,-1.378,2.769,-1.853,1.912,-1.82
6.64,5.466,-1.372,2.762,-1.853,1.912,-1.853
6.66,5.466,-1.372,2.776,-1.86,1.918,-1.82
6.68,5.466,-1.372,2.762,-1.866,1.918,-1.82
6.7,5.466,-1.372,2.762,-1.84,1.905,-1.82
6.72,5.466,-1.365,2.762,-1.827,1.905,-1.794
6.74,5.473,-1.365,2.762,-1.834,1.905,-1.794
6.76,5.48,-1.365,2.762,-1.814,1.905,-1.748
6.78,5.493,-1.359,2.762,-1.787,1.905,-1.748
6.8,5.493,-1.359,2.776,-1.787,1.905,-1.748
6.82,5.486,-1.359,2.776,-1.768,1.905,-1.708
6.84,5.493,-1.359,2.776,-1.768,1.905,-1.708
6.86,5.493,-1.339,2.769,-1.741,1.905,-1.675
6.88,5.499,-1.345,2.782,-1.721,1.912,-1.662
6.9,5.499,-1.345,2.782,-1.748,1.912,-1.662
6.92,5.499,-1.345,2.776,-1.735,1.912,-1.662
6.94,5.499,-1.345,2.776,-1.741,1.912,-1.662
6.96,5.499,-1.345,2.776,-1.728,1.918,-1.629
6.98,5.499,-1.345,2.769,-1.708,1.912,-1.636
7,5.499,-1.332,2.782,-1.695,1.931,-1.622
7.02,5.506,-1.332,2.782,-1.688,1.925,-1.622
7.04,5.506,-1.332,2.782,-1.708,1.925,-1.616
7.06,5.506,-1.339,2.782,-1.688,1.925,-1.616
7.08,5.506,-1.339,2.776,-1.715,1.931,-1.636
7.1,5.506,-1.339,2.776,-1.735,1.925,-1.642
7.12,5.499,-1.339,2.776,-1.741,1.931,-1.669
7.14,5.499,-1.326,2.776,-1.728,1.931,-1.662
7.16,5.499,-1.326,2.762,-1.741,1.925,-1.669
7.18,5.499,-1.326,2.762,-1.741,1.912,-1.688
7.2,5.499,-1.332,2.762,-1.741,1.912,-1.662
