,,,,,"T raw (use deg, hinge proj)",,,,"B raw (use deg, hinge proj)",,,
Freq,Vleft,Vright,drv_pch,h2,stroke L,pitch L->R,stroke R,pitch R->L,stroke L,pitch L->R,stroke R,pitch R->L
170,160,160,0,0,25.6,35.7,25.09,38.3,19.2,31.1,21,35.4
170,160,160,-20,0,31.5,38.7,23.4,38.6,22.8,32,17.2,34.8
170,160,160,20,0,22.5,36.6,28.2,38.6,15,30.7,23,34
170,170,170,0,0,30.2,37.5,29.3,38.2,22.1,31.4,22.7,35.9
170,170,170,-20,0,35.2,39.2,26.6,39,24.9,32.7,19.6,34.5
170,170,170,20,0,26.1,36.9,30.4,38.7,17.9,31.7,24.8,35.8
170,180,180,0,0,34.3,39.9,31.6,39.5,24.5,32.6,24.7,36.2
170,180,180,-20,0,37.4,39.1,28.9,39.8,26.4,33.5,20.8,37.7
170,180,180,20,0,28.6,37,32.9,39,19.8,30.7,25,34.4
170,190,190,0,0,37.2,40.3,35.3,40.9,25.5,33.7,26.6,36.9
170,190,190,-20,0,40.4,40.5,31.6,39.4,31,33,23.2,39.1
170,190,190,20,0,31.3,38.8,36.2,41.1,22.6,34.2,29.3,37.6
170,200,200,0,0,39.3,38.9,36.8,41,29.6,34.8,30.4,39.7
170,200,200,-20,0,42.4,40.3,33.7,40.8,32.5,35,24.6,38.8
170,200,200,20,0,33.2,38.7,38,41.8,24.5,34.8,31.2,37.5
