,,,,,"T raw (use deg, hinge proj)",,,,"B raw (use deg, hinge proj)",,,
Freq,Vleft,Vright,drv_pch,h2,stroke L,pitch L->R,stroke R,pitch R->L,stroke L,pitch L->R,stroke R,pitch R->L
170,160,160,0,0,24.31,40,31.1,39,24,34,24,38
170,160,160,-20,0,28.6,38,28,40.5,26,34,18,38
170,160,160,20,0,19,38,40,40,19.3,33,22,37
170,170,170,0,0,28.3,39,36,41,26,34,24,38
170,170,170,-20,0,31.7,41,31.9,41,28.2,33.7,21,37
170,170,170,20,0,24,37,39,40,21.5,34,24.5,38
170,180,180,0,0,30.1,39.5,38.3,42,27.8,35,26.4,38.5
170,180,180,-20,0,33.8,41,34.8,41,29.2,34.5,19.9,37
170,180,180,20,0,25.4,37.5,36,41,22.1,34,28.2,38
170,190,190,0,0,35,40,39.3,42,31.7,36,28.8,39.5
170,190,190,-20,0,37.5,40.5,35.8,42,32.6,34.5,24,39.5
170,190,190,20,0,29.7,38,39,41,24,34,29,38
170,200,200,0,0,37.14,40,39.1,41.5,31.8,35.5,31,41
170,200,200,-20,0,39,40.5,37,42,35.3,36,24.3,37
170,200,200,20,0,31.5,37.5,42,41,28.2,35,29.7,39
