,,,,,"T raw (use deg, hinge proj)",,,,"B raw (use deg, hinge proj)",,,
Freq,Vleft,Vright,drv_pch,h2,stroke L,pitch L->R,stroke R,pitch R->L,stroke L,pitch L->R,stroke R,pitch R->L
175,150,150,0,0,20.24,35.9,30.63,34.9,25.5,38.6,30.6,37.1
175,150,150,-20,0,13.7,36.3,34.4,35.4,19.7,38.5,34.4,38.1
175,150,150,20,0,24.2,34.5,26,37.2,29.8,39.4,26.6,38.2
175,160,160,0,0,22.5,36.6,34.5,35.7,29.2,40.9,35.7,37.4
175,160,160,-20,0,17.5,36.7,38.2,37.6,24.6,40,39,38.3
175,160,160,20,0,27.6,35.3,30.1,39.9,33.8,39.7,30.9,39.4
175,170,170,0,0,27,38,38.6,37,32.4,41.5,38.5,38.8
175,170,170,-20,0,21.1,37.6,41,40.5,28.6,41.7,42.7,39.6
175,170,170,20,0,31.1,38.5,34.7,41,37.8,39.7,34.9,39.2
175,180,180,0,0,29.4,39.3,41.8,41.3,37,42.7,43.4,41.3
175,180,180,-20,0,25.1,41.2,45.6,39.6,31.8,39.8,46.1,42.3
175,180,180,20,0,34.8,38.6,38.4,40.2,40.9,41.7,38.5,40.8
175,190,190,0,0,33,39.9,46.3,39.7,41.9,41.2,46.8,41.4
175,190,190,-20,0,26.11,39.1,47.4,36.9,34.6,43,48.8,39.7
175,190,190,20,0,36.8,38.8,40.5,41.7,45.4,42.9,41.8,43.1
